line,xor,penalty,greedy_or,budget
23681,63,3,1000,1000
23698,63,3,1000,1000
23699,63,3,1000,1000
23715,63,3,1000,1000
23716,63,3,1000,1000
26321,63,3,1000,1000
26776,63,5,1000,1000
26865,63,3,1000,1000
26866,63,3,1000,1000
26881,62,5,1000,1000
26883,63,3,1000,1000
26884,63,3,1000,1000
26885,63,3,1000,1000
26887,63,3,1000,1000
26902,63,3,1000,1000
26903,63,3,1000,1000
26962,63,3,1000,1000
26963,63,5,1000,1000
26965,63,3,1000,1000
27018,63,3,1000,1000
27019,63,3,1000,1000
27035,62,5,1000,1000
27037,63,3,1000,1000
27038,63,3,1000,1000
27039,63,3,1000,1000
27055,63,3,1000,1000
27056,63,3,1000,1000
27115,63,3,1000,1000
27116,63,5,1000,1000
27118,63,3,1000,1000
27202,63,5,1000,1000
27289,63,5,1000,1000
27314,63,5,1000,1000
27372,63,5,1000,1000
27426,63,5,1000,1000
27621,63,5,1000,1000
27682,63,5,1000,1000
27939,63,5,1000,1000
28055,63,5,1000,1000
28517,62,5,1000,1000
28536,63,3,1000,1000
29009,63,3,1000,1000
29025,63,3,1000,1000
29834,63,3,1000,1000
29835,63,3,1000,1000
29849,63,3,1000,1000
29853,63,3,1000,1000
29854,63,3,1000,1000
29867,63,3,1000,1000
30197,63,3,1000,1000
30204,62,3,1000,1000
30205,62,3,1000,1000
30216,61,3,1000,1000
30231,63,3,1000,1000
31125,63,5,1000,1000
31126,63,5,1000,1000
31133,63,5,1000,1000
31134,63,5,1000,1000
31140,63,5,1000,1000
31141,63,5,1000,1000
31142,63,5,1000,1000
31155,63,5,1000,1000
31156,63,5,1000,1000
31157,63,5,1000,1000
31168,63,5,1000,1000
31169,63,5,1000,1000
31176,63,5,1000,1000
31177,63,5,1000,1000
31183,63,5,1000,1000
31184,63,5,1000,1000
31185,63,5,1000,1000
31198,63,5,1000,1000
31199,63,5,1000,1000
31710,63,5,1000,1000
31719,63,5,1000,1000
31720,63,5,1000,1000
31726,63,5,1000,1000
31727,63,5,1000,1000
31728,63,5,1000,1000
31741,63,5,1000,1000
31742,63,5,1000,1000
31744,63,5,1000,1000
31754,63,5,1000,1000
31755,63,5,1000,1000
31761,63,5,1000,1000
31762,63,5,1000,1000
31763,63,5,1000,1000
31776,63,5,1000,1000
31777,63,5,1000,1000
32076,63,5,1000,1000
32080,63,5,1000,1000
32081,63,5,1000,1000
32082,63,5,1000,1000
32096,63,5,1000,1000
32100,63,5,1000,1000
32111,63,5,1000,1000
32112,63,5,1000,1000
32113,63,5,1000,1000
32128,63,5,1000,1000
33065,63,5,1000,1000
33066,63,5,1000,1000
33073,63,5,1000,1000
33074,63,5,1000,1000
33080,63,5,1000,1000
33081,63,5,1000,1000
33096,63,5,1000,1000
33097,63,5,1000,1000
33099,63,5,1000,1000
33110,63,5,1000,1000
33111,63,5,1000,1000
33118,63,5,1000,1000
